date_,food,count
"2022-06-28 19:33:28",국민정식,1
"2022-06-28 19:33:28",국치정식,1
"2022-06-28 19:34:14",국치정식,1
"2022-06-28 19:34:14",아쿠아돈까스정식,1
"2022-06-28 19:34:14",냉치정식,1
"2022-06-29 08:14:41",국민정식,1
"2022-06-29 08:14:41",국치정식,1
"2022-06-29 08:15:48",국치정식,1
"2022-06-29 08:15:48",아쿠아돈까스정식,1
"2022-06-29 08:15:56",냉치정식,1
"2022-06-29 08:16:11",아쿠아돈까스정식,1
"2022-06-29 08:16:18",로제돈까스정식,1
"2022-06-29 08:16:24",힘찬정식,1
"2022-06-29 08:16:24",소치정식,1
"2022-06-29 09:00:36",냉치정식,1
"2022-06-29 09:00:36",진국정식,1
"2022-06-29 16:55:01",아쿠아돈까스정식,1
"2022-06-29 16:55:01",뜨끈정식,1
"2022-06-29 16:56:51",뜨끈정식,1
"2022-07-02 11:25:35",국민정식,1
"2022-07-02 11:25:35",국치정식,1
